EC Ei1
0.000000 11.511300
0.000000 38.903200
0.000000 72.344900
25.779800 11.259300
0.000000 48.986200
0.000000 69.992200
0.000000 32.433400
0.000000 30.248700
0.000000 49.910400
0.000000 11.511300
0.000000 11.007200
0.000000 110.072000
63.960100 0.000000
11.856600 33.357600
60.914400 0.000000
56.128300 26.719700
0.000000 17.393000
0.000000 15.796600
25.562300 12.267500
45.794600 0.000000
43.619100 0.000000
60.370500 0.000000
60.370500 0.000000
54.496600 0.000000
54.496600 0.000000
106.383000 0.000000
106.383000 0.000000
106.383000 0.000000
0.000000 61.757900
51.559700 19.241600
0.000000 24.703100
93.438300 0.000000
0.000000 37.222800
71.683200 0.000000
26.432500 0.000000
26.432500 0.000000
56.019500 0.000000
29.804500 0.000000
101.705000 52.011000
59.391500 0.000000
55.366800 33.273600
66.244400 0.000000
66.244400 0.000000
66.244400 0.000000
66.244400 0.000000
0.000000 12.183500
0.000000 15.544500
0.000000 14.368200
0.000000 23.778900
32.741500 0.000000
0.000000 21.510200
37.527600 0.000000
37.527600 0.000000
30.457200 0.000000
69.507700 84.024300
0.000000 62.514100
0.000000 23.274700
0.000000 21.762300
24.800900 0.000000
128.355000 0.000000
128.355000 0.000000
128.355000 0.000000
69.507700 0.000000
15.228600 0.000000
60.044200 0.000000
56.345800 0.000000
56.345800 0.000000
0.000000 33.357600
0.000000 23.862900
0.000000 0.000000
0.000000 19.157500
79.079900 23.106700
79.079900 23.106700
46.882300 0.000000
75.381600 0.000000
29.369400 0.000000
66.462000 0.000000
48.405200 0.000000
48.405200 0.000000
0.000000 0.000000
83.974800 11.007200
57.977400 0.000000
12.074100 0.000000
12.074100 0.000000
23.278000 0.000000
0.000000 11.343300
0.000000 91.586500
0.000000 83.268100
0.000000 83.268100
0.000000 83.268100
0.000000 83.268100
0.000000 37.138700
0.000000 27.728000
0.000000 123.516000
0.000000 123.516000
0.000000 89.065800
0.000000 89.065800
0.000000 44.953000
0.000000 18.065200
36.331100 35.794400
60.479300 0.000000
27.737800 0.000000
0.000000 10.755100
0.000000 40.751800
18.165500 16.468800
0.000000 15.628500
65.156600 0.000000
0.000000 15.292400
0.000000 43.860700
28.281700 0.000000
43.075200 0.000000
0.000000 55.456000
25.888600 0.000000
0.000000 11.931500
11.530200 0.000000
44.815600 0.000000
32.523900 0.000000
67.658500 0.000000
67.658500 19.409600
67.658500 19.409600
67.658500 19.409600
35.896000 0.000000
108.776000 0.000000
108.776000 0.000000
108.776000 0.000000
108.776000 15.796600
108.776000 15.796600
108.776000 0.000000
108.776000 16.720800
108.776000 0.000000
116.390000 0.000000
0.000000 0.000000
28.064100 0.000000
28.064100 0.000000
29.478200 22.434500
0.000000 0.000000
0.000000 17.897200
0.000000 0.000000
12.726800 0.000000
12.726800 0.000000
59.282800 0.000000
59.282800 0.000000
60.914400 0.000000
101.379000 0.000000
65.591700 0.000000
94.199800 75.285800
0.000000 110.912000
44.489300 0.000000
27.302700 0.000000
69.072600 35.794400
49.166600 0.000000
70.486700 0.000000
68.746200 0.000000
68.746200 0.000000
20.341100 0.000000
0.000000 59.321200
0.000000 105.871000
23.930700 108.391000
23.930700 108.391000
0.000000 108.391000
0.000000 108.391000
83.648500 0.000000
93.220800 69.320000
93.220800 69.320000
93.220800 69.320000
93.220800 69.320000
27.085100 12.183500
0.000000 17.897200
0.000000 12.939700
67.549700 0.000000
0.000000 0.000000
0.000000 17.645100
79.623800 0.000000
14.684700 0.000000
0.000000 52.935300
0.000000 50.834700
0.000000 18.065200
0.000000 59.069100
0.000000 45.709200
0.000000 45.709200
72.335800 45.793200
0.000000 0.000000
26.432500 0.000000
65.591700 0.000000
0.000000 15.964600
62.654800 38.147000
62.654800 38.147000
28.390500 0.000000
42.640100 0.000000
18.709400 0.000000
37.418800 0.000000
74.076200 0.000000
75.381600 0.000000
55.801900 0.000000
55.801900 0.000000
47.426200 0.000000
82.016900 0.000000
12.509200 0.000000
0.000000 12.855700
0.000000 83.520200
0.000000 83.520200
23.930700 0.000000
0.000000 31.677200
65.156600 0.000000
19.362100 0.000000
40.464600 0.000000
64.939100 25.627400
0.000000 15.376400
0.000000 35.290200
0.000000 36.130400
66.353200 0.000000
53.082500 0.000000
70.269100 0.000000
70.269100 0.000000
108.123000 23.610800
87.890800 0.000000
0.000000 121.835000
0.000000 46.129300
0.000000 29.744600
0.000000 43.440600
25.779800 0.000000
112.039000 0.000000
112.039000 11.847400
112.039000 63.438300
112.039000 63.438300
11.965300 91.586500
76.904400 22.602500
76.904400 12.015500
76.904400 12.015500
0.000000 19.661700
49.819300 0.000000
105.186000 14.116100
105.186000 14.116100
56.019500 0.000000
129.443000 11.763400
129.443000 0.000000
129.443000 0.000000
40.682100 0.000000
40.682100 23.862900
90.066300 0.000000
90.066300 0.000000
110.951000 0.000000
46.773500 0.000000
60.588100 0.000000
0.000000 13.359900
66.679500 0.000000
0.000000 0.000000
64.286400 0.000000
29.913300 0.000000
44.380500 0.000000
16.098800 0.000000
102.032000 0.000000
0.000000 86.545000
0.000000 26.383600
0.000000 117.634000
0.000000 117.634000
152.286000 60.245400
61.458300 0.000000
61.458300 27.391900
51.777200 0.000000
130.531000 0.000000
26.867600 11.343300
0.000000 24.619100
13.705700 0.000000
0.000000 14.452200
0.000000 79.234900
0.000000 28.484200
45.250700 0.000000
45.250700 0.000000
0.000000 32.685500
36.657400 0.000000
23.930700 0.000000
41.769900 0.000000
10.877600 74.445500
15.881300 13.527900
26.867600 0.000000
17.186600 0.000000
17.186600 0.000000
0.000000 0.000000
26.867600 0.000000
24.583300 0.000000
52.429900 0.000000
20.341100 0.000000
20.341100 0.000000
0.000000 11.007200
0.000000 13.611900
0.000000 12.855700
0.000000 0.000000
57.216000 0.000000
63.198700 0.000000
64.286400 0.000000
29.695800 0.000000
15.446100 0.000000
0.000000 49.490300
91.915500 0.000000
91.915500 0.000000
91.915500 0.000000
0.000000 99.988900
0.000000 58.901000
0.000000 41.340000
0.000000 22.602500
0.000000 22.602500
0.000000 41.340000
17.186600 41.340000
40.029500 0.000000
0.000000 32.853500
39.159300 77.218300
30.348400 23.946900
0.000000 18.317300
0.000000 16.048600
25.018400 0.000000
66.788300 0.000000
16.969000 0.000000
34.264300 0.000000
0.000000 32.937500
0.000000 0.000000
0.000000 12.435600
0.000000 13.780000
0.000000 113.433000
0.000000 113.433000
0.000000 113.433000
0.000000 75.285800
0.000000 55.288000
0.000000 55.288000
0.000000 55.288000
0.000000 11.007200
0.000000 51.759000
0.000000 51.759000
0.000000 55.792100
0.000000 55.792100
80.058900 0.000000
80.058900 0.000000
80.058900 0.000000
82.887100 0.000000
51.559700 0.000000
51.559700 0.000000
0.000000 104.190000
98.333200 0.000000
92.568100 0.000000
77.774600 0.000000
77.774600 0.000000
64.286400 0.000000
0.000000 0.000000
94.199800 0.000000
41.661100 0.000000
42.096200 66.127100
33.285400 44.532900
0.000000 124.356000
0.000000 124.356000
0.000000 24.703100
65.156600 0.000000
11.747800 0.000000
35.678400 0.000000
21.755100 0.000000
57.433600 0.000000
11.312700 14.116100
0.000000 0.000000
52.865000 0.000000
53.517600 0.000000
33.720500 0.000000
44.271700 0.000000
0.000000 12.015500
0.000000 22.518500
93.982200 0.000000
93.982200 0.000000
93.982200 0.000000
0.000000 60.161400
80.276500 0.000000
32.088800 0.000000
32.088800 0.000000
0.000000 33.273600
0.000000 33.273600
14.684700 0.000000
73.967500 0.000000
14.684700 12.099500
0.000000 60.077400
0.000000 60.077400
0.000000 40.499700
0.000000 68.815900
0.000000 11.679400
0.000000 44.112800
0.000000 100.829000
0.000000 20.922100
0.000000 10.251000
56.345800 0.000000
0.000000 80.747300
28.934300 38.819200
72.444600 0.000000
0.000000 93.267000
0.000000 80.159200
0.000000 49.490300
0.000000 55.035900
0.000000 55.035900
62.546000 0.000000
23.278000 0.000000
0.000000 84.864500
0.000000 84.864500
48.840300 0.000000
0.000000 0.000000
18.165500 0.000000
0.000000 39.155300
0.000000 38.819200
61.240700 0.000000
77.122000 0.000000
77.122000 0.000000
29.151900 0.000000
80.058900 12.015500
0.000000 0.000000
67.767300 0.000000
116.390000 0.000000
139.233000 0.000000
